target,layer,process,split_type,split_name,descriptor_family,model,best_cv_score,best_params,n_trials,status
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,rf,0.3787883748682891,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,lgbm,0.3496770116889347,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,ridge,0.2945856528789621,"{""alpha"": 24.658329458549105}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,rf,0.3346281823029904,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 8, ""max_features"": 1.0}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,lgbm,0.34168229580804554,"{""objective"": ""regression"", ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,ridge,0.11123060366504545,"{""alpha"": 4.0428727350273315}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,rf,0.09744545445834685,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,lgbm,0.1202656276296935,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,ridge,0.37700013542689725,"{""alpha"": 4.0428727350273315}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,rf,0.5159609182845658,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,lgbm,0.49533377076477425,"{""objective"": ""regression"", ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,ridge,0.31026866777309026,"{""alpha"": 506.1576888752306}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,rf,0.44676012046476477,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,lgbm,0.4481079033822115,"{""objective"": ""regression"", ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,ridge,0.48237104305585676,"{""alpha"": 506.1576888752306}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,rf,0.6540130689427315,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,lgbm,0.6099919751558784,"{""objective"": ""regression"", ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,ridge,0.5323543526679997,"{""alpha"": 157.41890047456639}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,rf,0.6891542434278525,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,lgbm,0.668630673838044,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,ridge,0.5897219906727098,"{""alpha"": 3.907967156822881}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,rf,0.7039772027680142,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,lgbm,0.6864465705307964,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,ridge,0.1861695083156183,"{""alpha"": 3.907967156822881}",10,ok
postcomb_N2_0.75bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,rf,0.16041923168864114,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
